Date,Sales_A,Sales_B,Sales_C,Sales_Total
11/15/2020,2861.8,8903.6,1620.3,13385.7
11/16/2020,1631.8,4239.4,1005.3,6876.5
11/17/2020,2786.4,6651.8,1377.6,10815.8
11/18/2020,2271.4,6815.8,982.4,10069.6
11/19/2020,2210.7,6232,1425.2,9867.9
11/20/2020,2381.3,7645.7,2013.9,12040.9
11/21/2020,1868,5733.4,2915.9,10517.3
11/22/2020,1764.6,5495.6,1274.3,8534.5
11/23/2020,1590.8,2743.7,843,5177.5
11/24/2020,1736.8,4928.2,1380.9,8045.9
11/25/2020,1833.5,4385.4,1267.7,7486.6
11/26/2020,2028.7,4214.8,1718.7,7962.2
11/27/2020,2009,7524.3,1559.6,11092.9
11/28/2020,1787.6,5881,2140.2,9808.8
11/29/2020,2248.4,5743.3,2145.1,10136.8
11/30/2020,1143.1,6350.1,1761.4,9254.6
12/1/2020,1221.8,5061,1451.4,7734.2
12/2/2020,2255,2550.2,1569.5,6374.7
12/3/2020,2186.1,5034.8,1118.5,8339.4
12/4/2020,2394.4,5936.8,2937.2,11268.4
12/5/2020,1090.6,4157.4,1936.8,7184.8
12/6/2020,1505.5,5699,1745,8949.5
12/7/2020,1320.2,4595.3,2135.3,8050.8
12/8/2020,1810.6,4485.4,1502.2,7798.2
12/9/2020,1849.9,4085.2,2017.2,7952.3
12/10/2020,2027,6371.4,1776.1,10174.5
12/11/2020,1745,6963.4,2209.1,10917.5
12/12/2020,1681,4516.6,2319,8516.6
12/13/2020,1074.2,6072.9,2606,9753.1
12/14/2020,1546.5,4039.3,1346.4,6932.2
12/15/2020,1284.1,4972.5,988.9,7245.5
12/16/2020,2120.5,3696.6,2002.4,7819.5
12/17/2020,1464.5,5243.1,1610.5,8318.1
12/18/2020,2197.6,4239.4,1548.2,7985.2
12/19/2020,943,4141,2054.9,7138.9
12/20/2020,1180.8,6199.2,2499.4,9879.4
12/21/2020,1421.9,3563.7,2268.1,7253.7
12/22/2020,2036.9,4893.8,1480.9,8411.6
12/23/2020,1845,6025.4,2022.1,9892.5
12/24/2020,1599,5267.7,2248.4,9115.1
12/25/2020,1518.6,8081.9,1641.6,11242.1
12/26/2020,1754.8,4913.4,2540.4,9208.6
12/27/2020,1705.6,3832.7,2825.7,8364
12/28/2020,1295.6,2861.8,2402.6,6560
12/29/2020,1992.6,5457.9,2405.9,9856.4
12/30/2020,2246.8,5659.6,2583,10489.4
12/31/2020,2817.5,6502.6,2622.4,11942.5
1/1/2021,1830.2,4032.8,1830.2,7693.2
1/2/2021,1256.2,5015.1,2761.8,9033.1
1/3/2021,2410.8,6168,2225.5,10804.3
1/4/2021,1633.4,5167.6,2115.6,8916.6
1/5/2021,3094.7,5077.4,1663,9835.1
1/6/2021,1553.1,5744.9,1057.8,8355.8
1/7/2021,1981.1,5625.2,1513.7,9120
1/8/2021,2360,7161.9,1203.8,10725.7
1/9/2021,1016.8,4939.7,1912.2,7868.7
1/10/2021,1098.8,4264,1551.4,6914.2
1/11/2021,1426.8,5505.5,1546.5,8478.8
1/12/2021,2743.7,5092.2,1597.4,9433.3
1/13/2021,1494,3860.6,1795.8,7150.4
1/14/2021,1648.2,6148.4,1567.8,9364.4
1/15/2021,1507.2,7817.9,2669.9,11995
1/16/2021,1011.9,5129.9,1874.5,8016.3
1/17/2021,1992.6,4906.9,1792.5,8692
1/18/2021,1139.8,4231.2,2158.2,7529.2
1/19/2021,1651.5,6266.4,1745,9662.9
1/20/2021,1656.4,4377.2,1849.9,7883.5
1/21/2021,1730.2,4308.3,2043.4,8081.9
1/22/2021,2379.6,7791.6,2725.7,12896.9
1/23/2021,1451.4,5095.5,1782.7,8329.6
1/24/2021,2110.7,4529.7,1625.2,8265.6
1/25/2021,1997.5,4388.6,2281.2,8667.3
1/26/2021,1787.6,4475.6,2087.7,8350.9
1/27/2021,2373.1,5535,2153.3,10061.4
1/28/2021,1587.5,7904.8,2645.3,12137.6
1/29/2021,2748.6,8098.3,2199.2,13046.1
1/30/2021,1902.4,4127.9,2438.7,8469
1/31/2021,1410.4,4982.3,2822.4,9215.1
2/1/2021,2164.8,6532.1,2123.8,10820.7
2/2/2021,1484.2,6382.9,1981.1,9848.2
2/3/2021,1180.8,5772.8,2807.7,9761.3
2/4/2021,2156.6,5466.1,2401,10023.7
2/5/2021,2943.8,7835.9,3568.6,14348.3
2/6/2021,1485.8,7037.2,2015.6,10538.6
2/7/2021,1623.6,5008.6,3335.8,9968
2/8/2021,1254.6,5325.1,2268.1,8847.8
2/9/2021,1984.4,5249.6,1187.4,8421.4
2/10/2021,2181.2,5846.6,1938.5,9966.3
2/11/2021,2181.2,4923.3,3038.9,10143.4
2/12/2021,1915.5,7809.7,3960.6,13685.8
2/13/2021,1656.4,6018.8,2848.7,10523.9
2/14/2021,1841.7,6566.6,4305,12713.3
2/15/2021,1207,4629.7,1936.8,7773.5
2/16/2021,1558,6186.1,2051.6,9795.7
2/17/2021,1845,5364.4,1935.2,9144.6
2/18/2021,2423.9,5005.3,2237,9666.2
2/19/2021,3002.8,6113.9,3583.4,12700.1
2/20/2021,2337,4721.6,2930.7,9989.3
2/21/2021,629.8,6871.6,3325.9,10827.3
2/22/2021,1756.4,4419.8,2583,8759.2
2/23/2021,1804,5267.7,3230.8,10302.5
2/24/2021,1152.9,5226.7,2596.1,8975.7
2/25/2021,1579.3,5316.9,2335.4,9231.6
2/26/2021,2735.5,8585.4,1877.8,13198.7
2/27/2021,2050,6305.8,2023.8,10379.6
2/28/2021,1435,6309.1,2753.6,10497.7
3/1/2021,852.8,6299.2,2238.6,9390.6
3/2/2021,2182.8,7340.6,2028.7,11552.1
3/3/2021,1656.4,5694.1,1915.5,9266
3/4/2021,1828.6,5346.4,2058.2,9233.2
3/5/2021,2005.7,7999.9,2312.4,12318
3/6/2021,1881.1,9895.8,3537.5,15314.4
3/7/2021,2423.9,7317.7,2768.3,12509.9
3/8/2021,2666.6,6938.8,1787.6,11393
3/9/2021,1856.5,4037.7,2415.7,8309.9
3/10/2021,2104.1,6251.7,2886.4,11242.2
3/11/2021,1454.7,5746.6,2171.4,9372.7
